Category1, Category2, Category3,Product
relays,control-relays,impulse-relays,7913067
batteries-chargers,battery-chargers-power-banks,battery-chargers,536489
cables-wires,computer-cable-assemblies,computer-power-cable-assemblies,6665063
cables-wires,audio-video-cable,av-cables,1557743
switches,foot-switches-accessories,foot-switch-guard-covers,116726
automation-control-gear,process-control,ammeters,9010340
lighting,light-bulbs-lamps-tubes,led-bulbs,1244321
engineering-materials-industrial-hardware,metal-materials,metal-tubes,3582791
batteries-chargers,battery-charger-accessories,battery-contacts,489021
fuses-sockets-circuit-breakers,circuit-protection-circuit-breakers,circuit-trips,7912799
